ID_Place,country,city,latitude,longitude
Place_2165,Argentina,San Martín,-31.3417,-68.2592
Place_2166,Chile,Lebu,-38.1221,-74.1794
Place_2167,Chile,Valparaíso,-32.5055,-72.038
Place_2168,Argentina,Abra Pampa,-22.8222,-66.4057
Place_2169,Chile,Los Lagos,-43.135,-74.3145
Place_2170,Chile,Ovalle,-31.0978,-71.3676
Place_2171,Argentina,San Antonio de los Cobres,-24.2092,-67.3473
Place_2172,Chile,Vallenar,-28.8279,-71.6442
Place_2173,Argentina,San Antonio de los Cobres,-24.1933,-67.1216
Place_2174,Chile,Salamanca,-31.9275,-71.2347
Place_2175,Chile,Antofagasta,-23.3389,-69.8542
Place_2176,Chile,Calama,-21.0595,-68.9217
Place_2177,Argentina,Abra Pampa,-22.331,-66.3951
Place_2178,Chile,Lebu,-37.5485,-74.1721
Place_2179,Chile,Iquique,-20.5922,-68.8717
Place_2180,Chile,La Serena,-29.3829,-70.8021
Place_2181,Bolivia,Poopó,-18.8378,-67.875
Place_2182,Peru,Palca,-17.7937,-69.3373
Place_2183,Chile,Iquique,-20.197,-68.77
Place_2184,Argentina,Abra Pampa,-22.8977,-66.6137
Place_2185,Chile,Coquimbo,-30.0228,-71.6749
Place_2186,Chile,Molina,-35.3088,-71.1552
Place_2187,Chile,Calama,-22.1468,-68.7684
Place_2188,Chile,Taltal,-24.9314,-68.8927
Place_2189,Chile,Coquimbo,-29.9055,-72.1195
Place_2190,Argentina,Abra Pampa,-22.764,-66.4053
Place_2191,Argentina,San Antonio de los Cobres,-24.2223,-67.0827
Place_2192,Argentina,San Antonio de los Cobres,-24.2271,-67.2521
Place_2193,Chile,Tarapaca,-20.7367,-70.0983
Place_2194,Chile,Arica,-18.6654,-69.5975
Place_2195,Chile,Taltal,-25.3933,-71.2047
Place_2196,Chile,Panguipulli,-40.1358,-72.1616
Place_2197,Chile,Calama,-22.2242,-68.6771
Place_2198,Chile,Arica,-19.2761,-69.6349
Place_2199,Chile,Iquique,-20.7149,-69.2812
Place_2200,Argentina,Tinogasta,-28.2586,-67.569
Place_2201,Chile,San Pedro de Atacama,-22.0725,-67.1579
Place_2202,Chile,Taltal,-25.0025,-70.9251
Place_2203,Argentina,Londres,-28.0261,-66.7946
Place_2204,Argentina,Tinogasta,-28.2166,-67.4164
Place_2205,Chile,Illapel,-31.751,-71.44
Place_2206,Argentina,San Antonio de los Cobres,-24.1979,-66.9962
Place_2207,Chile,Salamanca,-32.1062,-70.9702
Place_2208,Chile,Lebu,-38.3154,-74.9221
Place_2209,Chile,Iquique,-20.5333,-68.8634
Place_2210,Bolivia,Uyuni,-20.6911,-66.8359
Place_2211,Chile,Calama,-21.1628,-68.6599
Place_2212,Argentina,San Antonio de los Cobres,-24.221,-67.3374
Place_2213,Bolivia,Atocha,-21.5442,-66.7681
Place_2214,Chile,Santa Cruz,-34.3111,-72.3857
Place_2215,Chile,San Antonio,-34.1415,-72.245
Place_2216,Chile,San Antonio,-34.1896,-72.272
Place_2217,Chile,San Antonio,-34.1825,-72.1958
Place_2218,Chile,San Antonio,-34.1537,-72.2855
Place_2219,Chile,Santa Cruz,-34.2812,-72.3734
Place_2220,Chile,San Antonio,-34.1875,-72.1908
Place_2221,Chile,San Antonio,-34.2364,-72.3102
Place_2222,Chile,Illapel,-31.483,-71.9459
Place_2223,Argentina,San Antonio de los Cobres,-23.3811,-66.9188
Place_2224,Argentina,Abra Pampa,-22.6198,-66.1803
Place_2225,Argentina,Tinogasta,-28.253,-67.4727
Place_2226,Argentina,San Antonio de los Cobres,-24.1281,-67.0825
Place_2227,Argentina,San Antonio de los Cobres,-24.2586,-67.3747
Place_2228,Chile,Coquimbo,-29.3774,-72.0182
Place_2229,Chile,San Pedro de Atacama,-23.4546,-68.1935
Place_2230,Chile,Iquique,-19.764,-70.8663
Place_2231,Chile,Arica,-18.605,-71.0957
Place_2232,Chile,Calama,-22.4672,-69.0515
Place_2233,Argentina,Albardón,-31.2566,-68.7108
Place_2234,Chile,Diego de Almagro,-25.8389,-69.0922
Place_2235,Argentina,Calingasta,-31.6447,-69.6728
Place_2236,Chile,Calama,-21.3304,-68.1949
Place_2237,Chile,Aisen,-44.8018,-80.8204
Place_2238,Chile,Salamanca,-31.3634,-70.736
Place_2239,Argentina,San Antonio de los Cobres,-23.91,-67.3767
Place_2240,Bolivia,Uyuni,-20.8212,-67.2523
Place_2241,Argentina,Londres,-27.9046,-66.8037
Place_2242,Chile,Tocopilla,-22.253,-70.3235
Place_2243,Chile,Ovalle,-30.9743,-71.7911
Place_2244,Bolivia,Uyuni,-20.4283,-66.9513
Place_2245,Argentina,San Antonio de los Cobres,-23.3552,-66.8111
Place_2246,Chile,Bio-Bio,-36.6965,-73.0737
Place_2247,Chile,Chicureo Abajo,-33.129,-70.572
Place_2248,Argentina,San Antonio de los Cobres,-24.1828,-67.3359
Place_2249,Argentina,San José de Jáchal,-29.6384,-68.346
Place_2250,Chile,Calama,-21.1459,-68.8332
Place_2251,Chile,Ovalle,-30.8276,-71.5082
Place_2252,Chile,San Pedro de Atacama,-22.2207,-67.2237
Place_2253,Chile,Coquimbo,-30.7523,-71.4746
Place_2254,Chile,Calama,-21.5851,-68.4999
Place_2255,Chile,Iquique,-20.7738,-70.5128
Place_2256,Argentina,Fiambalá,-27.6271,-67.5351
Place_2257,Argentina,San Antonio de los Cobres,-24.0624,-66.7203
Place_2258,Chile,Valparaíso,-33.3064,-73.0866
Place_2259,Chile,Constitución,-34.6647,-73.7344
Place_2260,Chile,Teno,-34.8855,-71.1199
Place_2261,Argentina,Las Ovejas,-36.7622,-70.8672
Place_2262,Peru,Tacna,-18.1588,-70.1765
Place_2263,Chile,Arica,-18.5954,-70.0033
Place_2264,Argentina,San Antonio de los Cobres,-24.2631,-67.1852
Place_2265,Chile,Valparaíso,-32.8837,-72.1189
Place_2266,Argentina,Abra Pampa,-22.7125,-66.3817
