ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0117,Place_0117,mb,4.3,10.0,163.13
Date_0118,Place_0118,mb,4.0,20.72,37.808
Date_0119,Place_0119,mb,4.5,191.72,169.358
Date_0120,Place_0120,mwr,4.3,61.36,40.032
Date_0121,Place_0121,mwr,4.3,89.16,145.227
Date_0122,Place_0122,mb,4.4,210.21,157.237
Date_0123,Place_0123,mb,4.0,102.43,19.015
Date_0124,Place_0124,mb,4.3,60.49,136.776
Date_0125,Place_0125,mb,4.2,97.08,28.356
Date_0126,Place_0126,mwr,4.7,10.0,164.242
Date_0127,Place_0127,mwr,4.6,77.64,43.034
Date_0128,Place_0128,ml,2.7,53.74,76.061
Date_0129,Place_0129,mb,4.1,130.63,6.116
Date_0130,Place_0130,mb,4.1,127.95,113.535
Date_0131,Place_0131,mb,4.4,88.77,57.935
Date_0132,Place_0132,mwr,4.5,41.55,55.489
Date_0133,Place_0133,mb,4.2,228.55,169.469
Date_0134,Place_0134,mwr,4.8,49.68,47.371
Date_0135,Place_0135,mb,4.0,274.09,206.943
Date_0136,Place_0136,mb,4.2,254.9,272.551
Date_0137,Place_0137,ml,4.0,11.68,77.951
Date_0138,Place_0138,mb,4.0,114.75,38.92
Date_0139,Place_0139,mb,4.2,114.36,49.15
Date_0140,Place_0140,mb,4.0,203.38,176.474
Date_0141,Place_0141,mb,4.1,12.6,99.524
Date_0142,Place_0142,mb,4.2,112.99,96.41
Date_0143,Place_0143,mb,4.2,137.63,91.184
Date_0144,Place_0144,mb,4.4,168.47,190.374
Date_0145,Place_0145,mb,4.3,10.0,543.323
Date_0146,Place_0146,mb,4.0,199.59,188.039
Date_0147,Place_0147,ml,4.3,27.12,47.705
Date_0148,Place_0148,mwr,4.0,10.0,314.696
Date_0149,Place_0149,mb,4.2,191.46,173.806
Date_0150,Place_0150,mb,4.2,118.24,18.237
Date_0151,Place_0151,mb,4.1,120.66,65.83
Date_0152,Place_0152,mwr,4.8,154.3,173.583
Date_0153,Place_0153,mwr,4.6,35.26,30.358
Date_0154,Place_0154,mwr,4.3,36.73,40.588
Date_0155,Place_0155,mb,4.3,106.67,58.602
Date_0156,Place_0156,mb,4.6,3.38,43.034
Date_0157,Place_0157,mb,3.8,41.31,31.136
Date_0158,Place_0158,mb,4.2,190.17,161.574
Date_0159,Place_0159,mb,4.2,10.0,428.342
Date_0160,Place_0160,mwr,4.2,20.36,60.048
Date_0161,Place_0161,mwr,4.2,19.86,107.419
Date_0162,Place_0162,mww,5.1,10.0,384.418
Date_0163,Place_0163,mb,4.7,10.0,388.088
Date_0164,Place_0164,mb,4.4,219.11,153.678
Date_0165,Place_0165,mwr,4.0,24.58,58.602
Date_0166,Place_0166,mb,4.2,124.82,99.079
Date_0167,Place_0167,mb,4.0,187.17,162.463
Date_0168,Place_0168,mb,4.3,15.88,131.55
Date_0169,Place_0169,mwr,4.2,16.19,54.043
Date_0170,Place_0170,mb,4.5,214.91,166.244
Date_0171,Place_0171,mwr,3.9,15.99,109.866
Date_0172,Place_0172,mwr,4.4,10.0,107.642
Date_0173,Place_0173,mb,4.4,10.0,79.953
Date_0174,Place_0174,mb,4.5,146.0,18.57
Date_0175,Place_0175,mb,4.2,110.24,195.823
Date_0176,Place_0176,mwr,4.1,17.8,104.528
Date_0177,Place_0177,mb,4.4,237.01,169.58
Date_0178,Place_0178,mwr,3.9,28.49,45.036
Date_0179,Place_0179,mb,4.3,10.0,114.536
Date_0180,Place_0180,mb,4.5,90.83,152.9
Date_0181,Place_0181,mwr,4.2,188.8,160.017
Date_0182,Place_0182,ml,4.3,35.0,68.166
Date_0183,Place_0183,mb,3.9,47.04,50.151
Date_0184,Place_0184,mb,4.3,132.43,185.482
Date_0185,Place_0185,mww,5.4,10.0,105.751
Date_0186,Place_0186,mb,4.4,10.0,88.404
Date_0187,Place_0187,mwr,4.2,61.5,23.797
Date_0188,Place_0188,mb,4.5,178.33,104.306
Date_0189,Place_0189,mwr,4.6,235.33,133.44
Date_0190,Place_0190,mb,4.3,126.41,77.506
Date_0191,Place_0191,mb,4.3,236.48,161.685
Date_0192,Place_0192,mwr,4.8,113.82,65.497
Date_0193,Place_0193,mb,4.3,104.61,100.97
Date_0194,Place_0194,mb,4.4,10.0,315.252
Date_0195,Place_0195,mb,4.3,230.54,161.018
Date_0196,Place_0196,mwr,4.3,204.23,179.032
Date_0197,Place_0197,mb,4.5,35.0,56.712
Date_0198,Place_0198,mb,4.2,102.73,37.697
Date_0199,Place_0199,mwr,4.5,10.0,427.786
Date_0200,Place_0200,mb,4.2,88.12,24.575
Date_0201,Place_0201,mb,4.4,256.24,256.761
Date_0202,Place_0202,mwr,4.0,17.68,113.202
Date_0203,Place_0203,mwr,4.6,16.5,114.202
Date_0204,Place_0204,mb,4.6,204.86,163.686
Date_0205,Place_0205,mwr,4.3,10.0,256.538
Date_0206,Place_0206,ml,3.7,16.68,62.161
Date_0207,Place_0207,mb,4.7,102.93,134.107
Date_0208,Place_0208,mwr,4.3,79.93,40.81
Date_0209,Place_0209,mb,4.2,184.31,176.474
Date_0210,Place_0210,mb,4.3,33.76,78.841
Date_0211,Place_0211,mb,4.1,129.98,83.622
Date_0212,Place_0212,mb,4.5,130.7,84.401
Date_0213,Place_0213,mb,4.2,136.08,83.734
Date_0214,Place_0214,mwr,4.6,213.44,224.29
Date_0215,Place_0215,mww,4.9,10.0,183.702
Date_0216,Place_0216,mb,4.4,109.24,51.041
Date_0217,Place_0217,mb,4.1,214.58,183.925
Date_0218,Place_0218,mb,4.3,221.63,166.022
Date_0219,Place_0219,mb,4.0,125.6,79.174
Date_0220,Place_0220,mb,4.4,138.44,94.965
Date_0221,Place_0221,mb,4.5,176.34,175.474
Date_0222,Place_0222,mb,4.5,38.65,12.566
Date_0223,Place_0223,mb,4.4,10.0,83.956
Date_0224,Place_0224,mb,4.2,35.0,67.054
Date_0225,Place_0225,mb,4.4,44.83,16.235
Date_0226,Place_0226,mb,4.4,228.24,167.022
Date_0227,Place_0227,mb,4.8,209.76,166.355
Date_0228,Place_0228,mb,4.5,118.85,48.261
Date_0229,Place_0229,mwr,4.4,105.14,116.426
Date_0230,Place_0230,mwr,4.5,10.0,258.429
Date_0231,Place_0231,mb,4.4,10.0,250.422
Date_0232,Place_0232,mwr,4.9,10.0,257.094
Date_0233,Place_0233,mwr,4.0,10.0,194.266
Date_0234,Place_0234,mb,4.0,138.12,43.146
Date_0235,Place_0235,mwr,4.5,10.0,246.753
Date_0236,Place_0236,mb,4.3,10.0,256.316
Date_0237,Place_0237,mb,4.2,10.0,273.774
Date_0238,Place_0238,mww,6.4,18.8,237.968
Date_0239,Place_0239,mb,4.3,212.42,124.21
Date_0240,Place_0240,mb,4.4,13.62,71.724
Date_0241,Place_0241,mww,5.1,9.55,70.278
Date_0242,Place_0242,mb,4.3,50.34,95.41
Date_0243,Place_0243,mwr,4.3,25.43,103.75
Date_0244,Place_0244,mwr,4.2,16.44,80.064
Date_0245,Place_0245,mwr,4.0,10.0,80.286
Date_0246,Place_0246,ml,2.7,76.47,27.466
Date_0247,Place_0247,mwr,4.5,20.03,41.811
Date_0248,Place_0248,mb,4.4,19.88,91.406
Date_0249,Place_0249,mb,4.3,201.95,154.346
Date_0250,Place_0250,mb,4.3,205.27,113.758
Date_0251,Place_0251,mb,4.3,103.24,16.791
Date_0252,Place_0252,mb,4.6,10.0,117.65
Date_0253,Place_0253,mb,4.6,10.0,113.869
Date_0254,Place_0254,mb,4.2,118.5,55.044
Date_0255,Place_0255,mb,4.4,19.9,113.535
Date_0256,Place_0256,mb,4.5,118.1,35.473
Date_0257,Place_0257,mb,4.6,21.4,33.249
Date_0258,Place_0258,mb,4.4,201.6,184.814
Date_0259,Place_0259,mb,4.0,151.92,301.908
Date_0260,Place_0260,mb,3.9,194.89,153.011
Date_0261,Place_0261,mb,4.3,132.16,75.282
Date_0262,Place_0262,mwr,4.9,10.78,115.87
Date_0263,Place_0263,mb,4.4,199.79,182.368
Date_0264,Place_0264,mwr,4.1,10.0,104.306
Date_0265,Place_0265,mwr,4.1,19.99,99.079
Date_0266,Place_0266,mb,4.4,10.95,113.869
Date_0267,Place_0267,mwr,4.4,10.0,108.754
Date_0268,Place_0268,mwr,4.8,13.28,100.302
Date_0269,Place_0269,mwr,4.1,26.18,169.691
Date_0270,Place_0270,mb,4.3,104.05,74.949
Date_0271,Place_0271,mwr,4.5,179.92,186.371
Date_0272,Place_0272,mww,6.2,205.0,149.119
Date_0273,Place_0273,mwr,4.2,11.43,73.948
Date_0274,Place_0274,mb,4.2,245.76,226.626
Date_0275,Place_0275,mb,4.4,4.64,114.647
Date_0276,Place_0276,mb,4.1,131.33,44.702
Date_0277,Place_0277,mb,4.3,10.0,107.419
Date_0278,Place_0278,mb,4.3,47.08,116.871
Date_0279,Place_0279,mb,4.4,35.0,106.53
Date_0280,Place_0280,mb,4.3,35.0,146.673
Date_0281,Place_0281,mb,4.2,35.0,121.208
Date_0282,Place_0282,mb,4.7,190.81,169.914
Date_0283,Place_0283,mb,4.1,94.24,47.594
Date_0284,Place_0284,mwr,4.4,96.87,45.37
Date_0285,Place_0285,mb,4.5,209.99,174.139
Date_0286,Place_0286,mb,4.1,137.39,139.222
Date_0287,Place_0287,mb,4.0,206.95,172.36
Date_0288,Place_0288,mb,4.4,10.0,159.127
Date_0289,Place_0289,mb,4.6,169.0,23.574
Date_0290,Place_0290,mb,4.2,23.61,13.122
Date_0291,Place_0291,mb,4.4,110.48,35.695
Date_0292,Place_0292,mb,4.2,18.99,113.313
